layer,expert
0,7
0,12
0,14
0,19
0,32
0,37
0,43
0,52
0,60
0,61
0,62
0,63
0,64
0,67
0,71
0,90
0,93
0,98
0,109
0,110
0,120
0,130
0,148
0,160
0,165
0,167
0,168
0,169
0,170
0,176
0,187
0,192
0,198
0,201
0,205
0,212
0,213
0,215
0,216
0,227
0,235
0,237
0,240
0,241
0,246
0,251
0,253
0,254
0,259
0,272
0,278
0,282
0,286
0,289
0,291
0,293
0,294
0,297
0,302
0,304
0,309
0,315
0,316
0,319
0,322
0,342
0,349
0,354
0,358
0,369
0,371
0,380
0,386
0,392
0,395
0,396
0,400
0,401
0,409
0,412
0,415
0,431
0,435
0,437
0,451
0,453
0,475
0,480
0,493
0,499
1,4
1,36
1,48
1,57
1,58
1,60
1,62
1,74
1,86
1,88
1,100
1,119
1,125
1,128
1,130
1,143
1,157
1,159
1,160
1,171
1,186
1,206
1,209
1,215
1,225
1,233
1,235
1,237
1,238
1,243
1,244
1,245
1,265
1,287
1,293
1,294
1,302
1,303
1,313
1,319
1,320
1,326
1,328
1,341
1,353
1,370
1,373
1,378
1,381
1,383
1,386
1,394
1,403
1,427
1,429
1,434
1,440
1,442
1,446
1,448
1,454
1,465
1,468
1,475
1,491
1,499
2,27
2,28
2,36
2,37
2,46
2,51
2,59
2,77
2,84
2,87
2,89
2,104
2,106
2,107
2,109
2,117
2,132
2,134
2,138
2,147
2,164
2,168
2,171
2,192
2,200
2,207
2,208
2,210
2,211
2,215
2,222
2,238
2,251
2,270
2,286
2,289
2,295
2,306
2,313
2,319
2,321
2,333
2,338
2,351
2,352
2,358
2,360
2,364
2,370
2,371
2,380
2,393
2,404
2,417
2,421
2,432
2,435
2,436
2,439
2,443
2,444
2,449
2,470
2,479
2,481
2,493
2,496
2,511
3,9
3,18
3,49
3,54
3,67
3,85
3,88
3,111
3,120
3,139
3,141
3,145
3,150
3,161
3,168
3,178
3,181
3,182
3,187
3,191
3,196
3,197
3,202
3,205
3,215
3,216
3,225
3,228
3,229
3,237
3,249
3,265
3,269
3,272
3,285
3,293
3,305
3,323
3,332
3,335
3,340
3,354
3,357
3,374
3,381
3,403
3,405
3,408
3,425
3,437
3,465
3,470
3,474
3,484
3,496
3,507
4,9
4,24
4,71
4,73
4,77
4,96
4,102
4,115
4,117
4,149
4,163
4,166
4,172
4,190
4,196
4,198
4,199
4,213
4,216
4,221
4,222
4,225
4,233
4,241
4,245
4,249
4,266
4,272
4,287
4,292
4,293
4,294
4,299
4,308
4,325
4,329
4,333
4,339
4,340
4,344
4,345
4,346
4,349
4,357
4,358
4,367
4,379
4,389
4,390
4,392
4,393
4,403
4,409
4,410
4,414
4,422
4,432
4,436
4,440
4,465
4,488
4,496
4,506
5,1
5,5
5,11
5,20
5,37
5,52
5,56
5,68
5,71
5,74
5,81
5,84
5,90
5,96
5,98
5,100
5,101
5,107
5,110
5,112
5,117
5,118
5,129
5,131
5,134
5,140
5,143
5,161
5,179
5,180
5,185
5,187
5,191
5,204
5,205
5,212
5,228
5,241
5,275
5,283
5,286
5,294
5,317
5,319
5,340
5,344
5,355
5,357
5,379
5,392
5,415
5,420
5,424
5,452
5,456
5,466
5,468
5,471
5,478
5,482
5,485
5,487
5,490
5,491
5,493
5,510
6,24
6,26
6,27
6,33
6,37
6,42
6,46
6,52
6,66
6,68
6,71
6,73
6,78
6,84
6,85
6,112
6,121
6,129
6,132
6,137
6,138
6,142
6,144
6,145
6,158
6,164
6,168
6,170
6,179
6,185
6,189
6,201
6,237
6,254
6,259
6,276
6,279
6,280
6,283
6,285
6,296
6,309
6,310
6,312
6,329
6,335
6,345
6,354
6,357
6,359
6,365
6,372
6,379
6,383
6,394
6,397
6,407
6,423
6,431
6,435
6,441
6,446
6,452
6,456
6,468
6,480
6,484
6,485
6,495
6,505
7,2
7,10
7,15
7,20
7,33
7,35
7,71
7,72
7,76
7,83
7,87
7,93
7,101
7,118
7,119
7,120
7,128
7,132
7,139
7,142
7,148
7,154
7,158
7,160
7,162
7,165
7,167
7,170
7,174
7,177
7,183
7,193
7,202
7,206
7,210
7,219
7,220
7,228
7,239
7,242
7,245
7,250
7,268
7,276
7,282
7,287
7,288
7,301
7,302
7,314
7,316
7,327
7,333
7,351
7,353
7,357
7,395
7,412
7,423
7,429
7,434
7,437
7,438
7,481
7,489
7,493
7,499
7,504
7,508
8,2
8,3
8,11
8,19
8,22
8,49
8,52
8,63
8,74
8,78
8,87
8,101
8,110
8,115
8,116
8,131
8,138
8,148
8,149
8,151
8,155
8,162
8,176
8,189
8,191
8,239
8,275
8,287
8,296
8,297
8,301
8,308
8,318
8,322
8,325
8,331
8,342
8,356
8,370
8,373
8,389
8,392
8,414
8,432
8,433
8,434
8,436
8,448
8,449
8,470
8,477
8,496
8,497
8,498
8,505
8,507
8,509
9,0
9,30
9,40
9,49
9,68
9,71
9,73
9,83
9,89
9,111
9,129
9,130
9,132
9,138
9,152
9,154
9,157
9,168
9,171
9,183
9,194
9,214
9,232
9,239
9,259
