trace,workload,budget_gb,capacity_slots,static_slots,static_gb,dynamic_slots,policy,hit_rate,miss_rate,bytes_h2d_per_token,promotions_per_token,evictions_per_token,cache_churn_per_token,cpu_direct_experts_per_token,average_residency_tokens,p50_misses_per_layer,p95_misses_per_layer,band_0_to_4,band_5_to_7,band_8_to_10
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,0,0.0,723,LRU,0.0,1.0,1327104000.0,480.0,480.0,960.0,0.0,1.4982589285714285,10.0,10.0,0.0,0.0,1.0
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,0,0.0,723,CLOCK,0.0,1.0,1327104000.0,480.0,480.0,960.0,0.0,1.4982589285714285,10.0,10.0,0.0,0.0,1.0
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,0,0.0,723,LFU,0.0,1.0,1327104000.0,480.0,480.0,960.0,0.0,1.4982589285714285,10.0,10.0,0.0,0.0,1.0
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,723,1.9989504,0,Static Hot (universal),0.02739955357142857,0.9726004464285715,1290741942.857143,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.026785714285714284,0.023995535714285716,0.94921875
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,361,0.9980928,362,Static Hot + CLOCK (universal),0.013671875,0.986328125,1308960000.0,473.4375,473.4375,946.875,0.0,0.7644343257089838,10.0,10.0,0.013392857142857142,0.011532738095238096,0.9750744047619048
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,361,0.9980928,362,Static Hot + LRU (universal),0.013671875,0.986328125,1308960000.0,473.4375,473.4375,946.875,0.0,0.7644343257089838,10.0,10.0,0.013392857142857142,0.011532738095238096,0.9750744047619048
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,361,0.9980928,362,Frequency promotion (universal),0.013671875,0.986328125,1308960000.0,370.82142857142856,367.5892857142857,738.4107142857143,0.0,0.9543976130854924,10.0,10.0,0.013392857142857142,0.011532738095238096,0.9750744047619048
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,361,0.9980928,362,Hybrid policy (universal),0.020814732142857142,0.9791852678571429,6072685.714285715,2.1964285714285716,0.0,2.1964285714285716,467.8125,61.889481707317074,10.0,10.0,0.025297619047619048,0.0,0.9747023809523809
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,723,1.9989504,0,Static Hot (adaptive),0.02739955357142857,0.9726004464285715,1290741942.857143,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.026785714285714284,0.023995535714285716,0.94921875
C:\Users\user0\Documents\Codex\2026-09-03\chatgpt-conversation-6a98f719-c4cc-83ec-8dd8\work\pc-slotstream-hybrid-gate\results\integration-gate\trace_fixture.bin,trace_fixture,2,723,361,0.9980928,362,Static Hot + CLOCK (adaptive),0.013671875,0.986328125,1308960000.0,473.4375,473.4375,946.875,0.0,0.7644343257089838,10.0,10.0,0.013392857142857142,0.011532738095238096,0.9750744047619048
